text,label
sudeep did she invite him though no right why are you getting worded up youre okay with parvesh verma cause he speaks against muslims but against an idiot like imam because he called for chakka jam,1
islam has never been a resistance to oppression it has always been source of oppression to both believers and non believer,1
boy your comment about journalists wanting to keep churches closed is beneath you as a christian woman and human being your bosses filth is brushing off on you not at all unbiased and a down right lie shame on you,1
hindus were and are getting killed by muslims terriorists in kashmir congress mukt bharat will certainly happen if congressmen like you dont change their idealogies and keep sounding like idiots you actually dont need enemies,1
white supremicists how many do you know there a few idiots in all races where is antisemitism coming from dems blm antifa muslims you wont appease them by throwing white supremacy they hate you amp want to destroy israel amp all jews amp you know it,1
urban naxal and a jihadi tt gang put togetherwen more than 95 ot the population are happy to be united as one nation inspite of their diversitywho the f are u to preach otherwiseur just a petty muslim activistor should i say ground operative for islamic terrorism,1
so what is to blame for the more than 100 islamist terrorists organizations the book of mormon,1
its not bjp its about you guys always support bad muslims which makes you bad too stop supporting those idiotshindus never do that,1
idiots rakshabandhan is a hindu festival and hindus by their nature protect cows if you have guts put same poster and tweet for any muslim festival now shut the fk up and get lost,1
but i think junk that u r born through halala pl check ur dna bcz u people marry ur chacheri mamaeri phuphurei sister how can u mentain this is ur actual face amp lastly the result is halalaa abdul am i right hv u guts to say anything about islamic terrorism no bcz they r ur com,1
we did not say lets make the white palace a mosque lets open hagia sophia for the worship of the muslims we didnt ask you pompeo or against your will understand that the old turkey or we like an idiot teaches will teach,1
what has happened to nyc it is not a muslim stronghold have you forgotten 911 and who attacked us idiot bush and the muslim obama nation,1
the muslim brotherhood president of egypt was removed in 2013 by obama you guys are idiots,1
to restrict jihadisterrorists conspiring ghazwaehind darulharb jihad against hindushindutvahindusthanhumanitygt their r rakshak hindushindusthanis to protect maa bharati but always backstabbed by aalsilaalchisecularignorantselfish hindusgtbefore jihadisgteliminate them,1
pence is a clear example of radical right wing hypocrisy not to mention support of illegal unethical action by such a socalled christian,1
you should visit a muslim country and see how woke they are right before youre beheaded like the 2 british girl idiots who thought vacationing in morocco was a good idea dont be blonde err i mean stupid,1
u cant accept godse is terrorist but still im hypocrite there is islamic terrorism theres hindutva terrorism etc its there in every religionuve such a big brain but cant look up whats terrorism cause u cant accept the existence of one terrorist in ur community,1
russian hindus come out in support of who is a victim of religious persecution in russia at the hands of an orthodox christian radical alexander dvorkin article in,1
both countries facing islamic terrorismisrael helped us many times during warchina pla also torturing hong kongers can u say against china,1
muslims who act like erdogan can never do anything wrong are disgusting think of your kurdish brothers and sisters you idiots,1
all you are doing with your verses is proving sexism in islam,1
you need to really get right with god and stop lying be the true christian woman you have so often espoused and tell the truth nothing is worth losing your soul over donna walk away you will be protected,1
oh look the idiot doesnt want to miss the opportunity to virtue signal and call for justice its already happening illham not because you called for it either but because its right what you want it a public lynching or stoning like in muslim countries no,1
askafridi why allah is gay why prophet cuted the own penis why all muslim are idiots why all muslim are brainless why islam is religion of terriosm why you are biggest chutiya on earth why pakistan is a terriost nation why pakistan is son of india,1
is this your humanity that you call it so called jihad according to it if you die as terrorist you will go to jannat abbe chutiye ho kya be,1
here is what the scumbag muslims do with children and then they use them for propaganda,1
sharia taking injustice to new heights islam,1
look at how the democrats support their cultural sites but never say a word when im a weekly basis a church is bombed christians are tortured all in the name of islam wake up democrats radical islam is going to eat you alive if you let it hypocrisy,1
like all of the protesters of anti caa who are first order idiots who does not understand it has got nothing to do with indian muslims you too are an addition to that idiots list stupidity peaks when kudrati biryani is served in pandals,1
republicans are getting more radical right in their support of impeached trump as christian groups start to call for presidents removal,1
he is idiot but still i support him you go and do whatever you can manipulation and propaganda is done by muslims pseudo secular card victim card played by muslim this is the reason for your hatred we know problems are there some legacy issues there will sort out,1
let me tell u a hard truth you kashmiris have killed so much of our soldiers and innocent people including kashmiri pandits that you have sympathy from general public and today no one gives a fcuk about you people who support islamic terrorism,1
uighur muslims in china are being led onto trains headed to concentration camps to have their organs harvested while idiots in this country are tearing down statues looting rioting and beating up civilians bc of you know oppression,1
try not defending the racist idiot then you were the one talking about muslim grooming gangs not me,1
okay so we agree that the taliban and isis and saudis are implementing 3333,1
u have destroyed your life welcome to the world of islamic terrorism,1
you dumbass idiots you dont have the right to tell me how i feel about this its my religion and i found that so disrespectful for us muslims i have the right to feel that way so stfu,1
you idiots of minneapolis muslims have you muffled ill die before i celebrate anything muslim enjoy your new fakeass religion,1
the abcs of islams muslims fighterswar mongers discusting distructive isis abcs if u put all the war mongering passages together in the quran u come up with allahs perfect muslim and that would be the terrorist isis r only 1 such allah army taliban hamas hezboallah,1
i dont think you have read the quran but only cherry picking quotes probably given to you by sites or other people the quran permits killing terrorists in self defence you can interpret quotes to suit any argument which is what isis and you are doing,1
great news kristina lyke is an honest hard working intelligent christian woman who believes all human life is precious and that our american constitution and bill of rights is to be defended she is for the people of mi08 milikelyke,1
u r talking of 1948 u dont know what world is facing by islamic terrorism u need to study a lot u r totally wrong trust me totally,1
you can see the mentality of idiots i want to see him jail rascal basterdhe is offering to kill muslim,1
youre not going to get the response youre looking for give up,1
you dont have to be radical to not support trumpits very simple to see through his bs im just a regular guyi can see hes a snakenot sure how youan ultrachristian you tout yourself to befall for his shtick,1
dont you have enough so called human rights violation of pakistan to poke into alas wish you commented rather on todays christian woman dragging into forced conversion to islam in pakistan appalling how can you force into a religion sick mindset leave us alone please,1
i am a straight christian woman and ive boycotted chickfila for many years because of their support for antilgbtq policies and alt right politicians and pacs every single person has a duty to take a stand mine is small and probably insignificant but it makes me feel good,1
lastly i have news for idiots who compare modi with right wing populists elsewhere modi is uniquely despicable he oversaw a massacre of a minority community and was elected to teach muslims a lesson shame on you and only you there are no equivalents for modi,1
bearing false witness is not a good look for a nice christian woman like yourself you need to get right with the lord sarah repent now the end times draw nigh,1
and what about all the times these rw idiots call muslims pigs jihadis terrorists and what not on an everyday basis just check sm and youll see hashtags trending with such words,1
u r forgetting that a bharati can say what he likes about muslimvirus era of islamic terrorism is coming to an end,1
you dont look like a muslim is actually an insult it seem like a statement without ill intentions but its not why dont i look like a muslim cause i dress nicely or speak well tell me how a 26 years old muslim man ought to look idiot ni e,1
fatf the terrorist nation of pakistan has started recruiting kids to wage jihad against india it is high time that fatfshouldblacklistpakistan to save the world and save humanity fatf fatfblacklist,1
roles are reversed just go to any number of muslim countries and you can see it first hand idiots,1
a southern christian woman with a cajun backgrund that apparently cares more about the feeling of a mob then what is right amazing,1
you are daft jonathan as a southern christian respected federal character hence his appointment of muslim northerners to head efcc and inec so as to balance up same was expected from the idiot hiding in aso rock,1
thank you for uniting all hindus from the world on a platform against islamic terrorism in kashmir u did really a great job hinduism should ever loanee of you for your kind act hinduunitedagainstterror,1
but when it was to show support for the coza rapist they quickly ironed their suit and went to climb stage in solidarity you dont want to even imagine the outrage if a radical christian group kidnapped and killed a muslim cleric the sun will stand still that day,1
what an muslim piece of shit you are try to put yourself together on the shitty economy status of your fuckin state and then try to provoke all the others around you you asshole fuckin idiot,1
prophet muhammadsaw jihad was to serve humanity with love kindness and peace and terrorists jihad is to kill amp maim innocent people,1
because they like killing by taking inspiration from that quran so if not others then muslimswell they like to kill yazidis n make yazidi girls as sex slavesn there r many terrorists in pakistan also who dont belong to isis may be how eg hafiz saeed,1
bcoz jihadivirus is million times more dangerous to hindushindutvahindusthanhumanity than coronavirus jihadjihadimuktbharat is must for hindushindusthanishindutva to survive converted hindus hv now bcam muslimjihadisrapistslootersterrorists due to jihadvirus,1
rt egypt court to hear case to designate turkey a state sponsor of terror,1
there was no golden age jews were regularly slaughter by muslims in pogroms,1
now imagine what would happen to you if that muslim controlled got a hold of you idiot trump is trying to keep them and sharia law out of here,1
u cant said terrorists as terrorists because u r a islamic channel and we cant take u seriously we khow u never said against islamic terrorism,1
kalu is silent over his moms false case these idiots will not talk about tolerance now vultures came out when it is an issue about muslims nice to see you in this battle,1
only a propagandist or an idiot can believe there is apartheid in india ih and f you bernie and co for spreading islamistcommunist bs propaganda about india how dare you erase the deaths injuries and losses of hindus in the delhi riots by calling it solely antimuslim,1
nobody cares the law protects women mohammeds phony laws abuse women islam,1
no its obvious that who is the target of the weapon that is the issue killing terrorists with any kind of weapon is good,1
you have the right to say anything you like and i have the right as a christian woman to tell you to take that cross off it clearly means nothing to youabsolute filth,1
jay you support a democrat party that persecute christiansjews amp aligns with radical islam jesus christ would liken the democrat party to the pharisees brood of vipersworry about the log in your eyerather than the speck in mine as im supporting 45 who protects christians,1
dont know where you heard that lie trump is the most respected president around the world he is helping to free the world from the deep states grip amp youre an idiot if you think obama is respected obama bowed down to muslims hes not respected hes a laughing stock,1
you are bunch of idiots your pouring kerosene on your heads and just waiting for some one to light it up good luck in my opinion there should be no such ministry ministry of minorities has one representative that is a muslim if that is the case change the name,1
sadly ct has gone over to the radical left it has become a vessel for the democrat party the alleged christian has joined ranks with those who support killing babies those who believe that jesus was just another jew those who cannot even say merry christmas a sad day 4 ct,1
they usually are when you start arguing with logic funny i critisize islam and muslims everyday i get hate from them then i critisize israel and other places and get hate from them too after a while u get used to idiots from both sides,1
another guilt feeling fool islam attacked and conquered 23 of christianity before crusades,1
mohammed had a child bride isis marries off children,1
